Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Dec 10, 2018","1,641.03","1,623.84","1,657.99","1,590.87",7.49M
"Dec 07, 2018","1,629.13","1,705.07","1,718.93","1,625.46",7.58M
"Dec 06, 2018","1,699.19","1,614.87","1,701.05","1,609.85",8.79M
"Dec 04, 2018","1,668.40","1,756.00","1,770.34","1,665.00",8.69M
"Dec 03, 2018","1,772.36","1,769.46","1,778.34","1,730.00",6.86M
"Nov 30, 2018","1,690.17","1,679.50","1,696.00","1,666.50",5.76M
"Nov 29, 2018","1,673.57","1,674.99","1,689.99","1,652.33",6.61M
"Nov 28, 2018","1,677.75","1,613.92","1,681.45","1,601.21",8.46M
"Nov 27, 2018","1,581.42","1,575.99","1,597.65","1,558.01",5.78M
"Nov 26, 2018","1,581.33","1,539.00","1,584.81","1,524.22",6.26M
"Nov 23, 2018","1,502.06","1,517.00","1,536.20","1,501.81",2.71M
"Nov 21, 2018","1,516.73","1,542.99","1,550.00","1,515.00",5.72M
"Nov 20, 2018","1,495.46","1,437.50","1,534.75","1,420.00",10.88M
"Nov 19, 2018","1,512.29","1,577.01","1,581.19","1,503.36",7.79M
"Nov 16, 2018","1,593.41","1,587.50","1,614.48","1,573.12",6.07M
"Nov 15, 2018","1,619.44","1,581.01","1,624.82","1,546.51",8.43M
"Nov 14, 2018","1,599.01","1,656.32","1,673.00","1,597.07",6.49M
"Nov 13, 2018","1,631.17","1,649.29","1,677.06","1,613.75",5.93M
"Nov 12, 2018","1,636.85","1,698.24","1,708.55","1,630.01",6.81M
"Nov 09, 2018","1,712.43","1,732.50","1,743.92","1,701.87",5.90M
"Nov 08, 2018","1,754.91","1,755.00","1,784.00","1,725.11",6.53M
"Nov 07, 2018","1,755.49","1,673.00","1,759.23","1,664.08",8.19M
"Nov 06, 2018","1,642.81","1,618.35","1,665.00","1,614.55",4.26M
"Nov 05, 2018","1,627.80","1,657.57","1,658.09","1,596.36",5.62M
"Nov 02, 2018","1,665.53","1,678.59","1,697.44","1,651.83",6.96M
"Nov 01, 2018","1,665.53","1,623.53","1,670.45","1,598.44",8.14M
"Oct 31, 2018","1,598.01","1,569.99","1,623.91","1,565.09",9.39M
"Oct 30, 2018","1,530.42","1,486.16","1,540.99","1,476.36",12.46M
"Oct 29, 2018","1,538.88","1,660.00","1,665.74","1,495.00",13.87M
"Oct 26, 2018","1,642.81","1,649.59","1,698.46","1,603.00",14.96M
"Oct 25, 2018","1,782.17","1,703.34","1,794.81","1,692.01",10.29M
"Oct 24, 2018","1,664.20","1,773.70","1,777.71","1,656.56",6.93M
"Oct 23, 2018","1,768.70","1,742.24","1,776.34","1,714.00",6.72M
"Oct 22, 2018","1,789.30","1,784.00","1,809.50","1,756.00",4.50M
"Oct 19, 2018","1,764.03","1,785.16","1,809.10","1,753.00",5.91M
"Oct 18, 2018","1,770.72","1,821.49","1,830.15","1,767.87",5.87M
"Oct 17, 2018","1,831.73","1,842.79","1,845.00","1,807.00",5.30M
"Oct 16, 2018","1,819.96","1,783.50","1,823.88","1,761.55",5.86M
"Oct 15, 2018","1,760.95","1,795.00","1,795.05","1,734.23",6.44M
"Oct 12, 2018","1,788.61","1,808.00","1,808.95","1,742.53",9.44M
"Oct 11, 2018","1,719.36","1,724.00","1,755.40","1,685.10",13.94M
"Oct 10, 2018","1,755.25","1,857.89","1,858.56","1,754.41",10.99M
"Oct 09, 2018","1,870.32","1,859.99","1,896.68","1,852.32",4.77M
"Oct 08, 2018","1,864.42","1,874.00","1,902.00","1,830.66",7.39M
"Oct 05, 2018","1,889.65","1,917.99","1,929.08","1,862.83",6.82M
"Oct 04, 2018","1,909.42","1,949.00","1,956.00","1,896.57",7.26M
"Oct 03, 2018","1,952.76","1,981.70","1,989.70","1,949.81",5.25M
"Oct 02, 2018","1,971.31","1,999.99","2,013.39","1,965.77",5.40M
"Oct 01, 2018","2,004.36","2,021.99","2,033.19","2,003.60",3.47M
"Sep 28, 2018","2,003.00","2,004.41","2,026.52","1,996.46",4.09M
"Sep 27, 2018","2,012.98","1,993.24","2,016.16","1,988.58",4.33M
"Sep 26, 2018","1,974.85","1,968.50","1,995.25","1,961.52",4.31M
"Sep 25, 2018","1,974.55","1,942.90","1,975.91","1,938.85",4.54M
"Sep 24, 2018","1,934.36","1,903.79","1,936.88","1,865.00",4.21M
"Sep 21, 2018","1,915.01","1,954.22","1,957.31","1,910.50",6.86M
"Sep 20, 2018","1,944.30","1,938.58","1,955.00","1,932.25",3.15M
"Sep 19, 2018","1,926.42","1,940.50","1,940.83","1,904.90",4.06M
"Sep 18, 2018","1,941.05","1,918.65","1,958.20","1,915.44",4.27M
"Sep 17, 2018","1,908.03","1,954.73","1,956.82","1,887.41",7.05M
"Sep 14, 2018","1,970.19","1,992.93","1,993.65","1,959.22",3.64M
"Sep 13, 2018","1,989.87","2,000.00","2,008.76","1,982.03",3.62M
"Sep 12, 2018","1,990.00","1,994.00","2,000.00","1,962.44",4.41M
"Sep 11, 2018","1,987.15","1,928.27","1,988.88","1,917.00",5.03M
"Sep 10, 2018","1,939.01","1,971.00","1,973.04","1,931.52",4.54M
"Sep 07, 2018","1,952.07","1,938.71","1,975.20","1,937.35",4.89M
"Sep 06, 2018","1,958.31","2,006.51","2,007.50","1,935.21",7.49M
"Sep 05, 2018","1,994.82","2,038.11","2,040.38","1,989.89",8.22M
"Sep 04, 2018","2,039.51","2,026.50","2,050.50","2,013.00",5.72M
"Aug 31, 2018","2,012.71","2,007.00","2,022.38","2,004.74",4.20M
"Aug 30, 2018","2,002.38","1,997.42","2,025.57","1,986.90",7.28M
"Aug 29, 2018","1,998.10","1,953.45","1,998.69","1,948.94",6.53M
"Aug 28, 2018","1,932.82","1,937.73","1,941.78","1,928.82",3.10M
"Aug 27, 2018","1,927.68","1,915.00","1,927.70","1,909.28",3.57M
